base,bybit_symbol,kucoin_symbol,bybit_start,kucoin_start,bybit_avg_volume,kucoin_avg_volume,min_avg_volume
1000000MOG,1000000MOGUSDT,1000000MOGUSDTM,1715874213000,,26252087.9,3575603.6,3575603.6
10000COQ,10000COQUSDT,10000COQUSDTM,1710233332000,,141573533.0,170128.4,170128.4
10000LADYS,10000LADYSUSDT,10000LADYSUSDTM,1683802102000,,3116489800.0,548350.2,548350.2
10000SATS,10000SATSUSDT,10000SATSUSDTM,1700127695000,,14375000290.0,1585133.0,1585133.0
10000WEN,10000WENUSDT,10000WENUSDTM,1706689209000,,4621040.0,796408.2,796408.2
1000BONK,1000BONKUSDT,1000BONKUSDTM,1672971039000,,5234859090.0,307455.5,307455.5
1000RATS,1000RATSUSDT,1000RATSUSDTM,1700633654000,,287948547.0,2522107.3,2522107.3
1000X,1000XUSDT,1000XUSDTM,1729841874000,,85167651.0,1792657.9,1792657.9
1INCH,1INCHUSDT,1INCHUSDTM,1638748800000,,9130615.97,1459434.8,1459434.8
AAVE,AAVEUSDT,AAVEUSDTM,1620897660000,,430802.73,1347591.4,430802.73
ACE,ACEUSDT,ACEUSDTM,1702882175000,,3192651.72,4280568.0,3192651.72
ADA,ADAUSDT,ADAUSDTM,1610668800000,,326207314.4,2453565.9,2453565.9
AERO,AEROUSDT,AEROUSDTM,1721034308000,,8871165.6,1196427.1,1196427.1
AEVO,AEVOUSDT,AEVOUSDTM,1710327014000,,12866539.27,4030665.9,4030665.9
AGI,AGIUSDT,AGIUSDTM,1700209664000,,31564865.0,278891.7,278891.7
AGLD,AGLDUSDT,AGLDUSDTM,1650608721000,,4108541.58,376613.5,376613.5
AI,AIUSDT,AIUSDTM,1705405869000,,10570353.93,2417946.2,2417946.2
AI16Z,AI16ZUSDT,AI16ZUSDTM,1735546658000,,256021279.8,13924717.7,13924717.7
AIXBT,AIXBTUSDT,AIXBTUSDTM,1734683907000,,160011902.0,2598519.4,2598519.4
ALCH,ALCHUSDT,ALCHUSDTM,1736235131000,,176319231.8,1037360.8,1037360.8
ALGO,ALGOUSDT,ALGOUSDTM,1632355200000,,63672054.32,6399568.8,6399568.8
ALICE,ALICEUSDT,ALICEUSDTM,1635120000000,,4139643.98,3215507.9,3215507.9
ALPHA,ALPHAUSDT,ALPHAUSDTM,1648626100000,,141745638.4,1392367.3,1392367.3
ALT,ALTUSDT,ALTUSDTM,1706181459000,,48277817.1,1164902.3,1164902.3
ALU,ALUUSDT,ALUUSDTM,1736841722000,,56002271.4,244330.1,244330.1
ANIME,ANIMEUSDT,ANIMEUSDTM,1737642024000,,231556960.1,685768.6,685768.6
ANKR,ANKRUSDT,ANKRUSDTM,1637712000000,,57960470.9,747505.3,747505.3
APE,APEUSDT,APEUSDTM,1647571477000,,15394716.15,17053364.8,15394716.15
API3,API3USDT,API3USDTM,1646019009000,,4640426.65,4578857.9,4578857.9
APT,APTUSDT,APTUSDTM,1666107272000,,5462157.76,4448149.3,4448149.3
AR,ARUSDT,ARUSDTM,1639978762000,,743070.15,1000249.5,743070.15
ARB,ARBUSDT,ARBUSDTM,1679563660000,,201780483.62,11102127.5,11102127.5
ARKM,ARKMUSDT,ARKMUSDTM,1690508471000,,13815927.2,958210.1,958210.1
ARPA,ARPAUSDT,ARPAUSDTM,1650369703000,,21241964.0,654285.3,654285.3
ASTR,ASTRUSDT,ASTRUSDTM,1649044122000,,58061163.5,351457.4,351457.4
ATH,ATHUSDT,ATHUSDTM,1718269304000,,141898205.0,1366484.3,1366484.3
ATOM,ATOMUSDT,ATOMUSDTM,1633910400000,,6376637.22,2051895.3,2051895.3
AUCTION,AUCTIONUSDT,AUCTIONUSDTM,1690526070000,,926218.63,354132.9,354132.9
AUDIO,AUDIOUSDT,AUDIOUSDTM,1637884800000,,32599268.56,4025870.4,4025870.4
AVAAI,AVAAIUSDT,AVAAIUSDTM,1736325126000,,175348765.7,3935437.4,3935437.4
AVAIL,AVAILUSDT,AVAILUSDTM,1721745394000,,36569352.6,544743.6,544743.6
AVAX,AVAXUSDT,AVAXUSDTM,1631664000000,,4773236.26,3763062.8,3763062.8
AXL,AXLUSDT,AXLUSDTM,1701941550000,,4842212.3,445367.0,445367.0
AXS,AXSUSDT,AXSUSDTM,1628726400000,,2776934.62,1838503.4,1838503.4
B3,B3USDT,B3USDTM,1739355381000,,376559630.0,178514.2,178514.2
BABY,BABYUSDT,BABYUSDTM,1743672875000,,131431104.0,919593.6,919593.6
BAKE,BAKEUSDT,BAKEUSDTM,1648794979000,,9846951.47,148458.7,148458.7
BAN,BANUSDT,BANUSDTM,1731919190000,,120469706.5,1462274.7,1462274.7
BANANA,BANANAUSDT,BANANAUSDTM,1721386183000,,178587.54,2331920.7,178587.54
BAND,BANDUSDT,BANDUSDTM,1645167116000,,576550.26,1653686.3,576550.26
BAT,BATUSDT,BATUSDTM,1637712000000,,6865090.6,186111.9,186111.9
BB,BBUSDT,BBUSDTM,1715686860000,,14125217.4,524760.0,524760.0
BCH,BCHUSDT,BCHUSDTM,1514764800000,,115698.06,570602.3,115698.06
BEL,BELUSDT,BELUSDTM,1655445585000,,6830641.8,568274.7,568274.7
BERA,BERAUSDT,BERAUSDTM,1738847788000,,8888317.7,6888724.5,6888724.5
BIGTIME,BIGTIMEUSDT,BIGTIMEUSDTM,1697099745000,,111853161.9,914492.9,914492.9
BIO,BIOUSDT,BIOUSDTM,1735034094000,,85645401.2,9436814.2,9436814.2
BLAST,BLASTUSDT,BLASTUSDTM,1719480310000,,512014656.0,451398.5,451398.5
BLUR,BLURUSDT,BLURUSDTM,1676428387000,,27605447.8,3065522.8,3065522.8
BMT,BMTUSDT,BMTUSDTM,1741852724000,,96852650.0,999957.7,999957.7
BNB,BNBUSDT,BNBUSDTM,1624951080000,,107546.26,681187.5,107546.26
BNT,BNTUSDT,BNTUSDTM,1691385533000,,917838.0,332105.0,332105.0
BOME,BOMEUSDT,BOMEUSDTM,1710492745000,,7062955240.0,11443882.5,11443882.5
BR,BRUSDT,BRUSDTM,1742476788000,,156550007.9,686393.2,686393.2
BRETT,BRETTUSDT,BRETTUSDTM,1714119444000,,468785100.0,5732389.7,5732389.7
BSV,BSVUSDT,BSVUSDTM,1639105708000,,101293.41,1187674.8,101293.41
C98,C98USDT,C98USDTM,1635120000000,,20189926.68,441292.1,441292.1
CAKE,CAKEUSDT,CAKEUSDTM,1699005636000,,2777691.67,215672.9,215672.9
CARV,CARVUSDT,CARVUSDTM,1729068075000,,9578030.3,264929.3,264929.3
CATI,CATIUSDT,CATIUSDTM,1725869712000,,95926778.4,19815069.4,19815069.4
CELO,CELOUSDT,CELOUSDTM,1641367582000,,16631545.79,1132081.4,1132081.4
CELR,CELRUSDT,CELRUSDTM,1635120000000,,60959712.3,722619.6,722619.6
CETUS,CETUSUSDT,CETUSUSDTM,1707104643000,,16678819.3,458810.2,458810.2
CFX,CFXUSDT,CFXUSDTM,1676883925000,,30034704.9,517481.9,517481.9
CGPT,CGPTUSDT,CGPTUSDTM,1736506047000,,18312653.5,294855.6,294855.6
CHILLGUY,CHILLGUYUSDT,CHILLGUYUSDTM,1732181897000,,563136013.3,82597468.6,82597468.6
CHR,CHRUSDT,CHRUSDTM,1637193600000,,9237989.53,2732134.3,2732134.3
CHZ,CHZUSDT,CHZUSDTM,1633996800000,,63682981.4,6733442.2,6733442.2
CKB,CKBUSDT,CKBUSDTM,1644901148000,,443090951.0,586401.9,586401.9
COOKIE,COOKIEUSDT,COOKIEUSDTM,1736235179000,,48720850.0,5367323.0,5367323.0
COTI,COTIUSDT,COTIUSDTM,1638445117000,,29981192.0,527496.6,527496.6
COW,COWUSDT,COWUSDTM,1731060401000,,11811317.8,120118.9,120118.9
CRO,CROUSDT,CROUSDTM,1637625600000,,34492670.6,8287310.5,8287310.5
CRV,CRVUSDT,CRVUSDTM,1635120000000,,77295190.21,4241742.8,4241742.8
CTSI,CTSIUSDT,CTSIUSDTM,1648018511000,,4442671.1,1709234.7,1709234.7
CVX,CVXUSDT,CVXUSDTM,1650440282000,,721362.9,197133.5,197133.5
CYBER,CYBERUSDT,CYBERUSDTM,1692124015000,,2605553.23,309613.8,309613.8
DEEP,DEEPUSDT,DEEPUSDTM,1729165754000,,154310606.0,1635614.1,1635614.1
DEGEN,DEGENUSDT,DEGENUSDTM,1711971483000,,3627154603.0,3400157.1,3400157.1
DENT,DENTUSDT,DENTUSDTM,1642068928000,,588411740.0,1090863.9,1090863.9
DODO,DODOUSDT,DODOUSDTM,1650457800000,,16469420.0,358075.8,358075.8
DOG,DOGUSDT,DOGUSDTM,1717495120000,,824928750.0,2379590.9,2379590.9
DOGE,DOGEUSDT,DOGEUSDTM,1622630640000,,2966582016.5,1251611.9,1251611.9
DOGS,DOGSUSDT,DOGSUSDTM,1724674595000,,86906530320.0,9594793.8,9594793.8
DOT,DOTUSDT,DOTUSDTM,1616060040000,,9957361.58,907307.6,907307.6
DRIFT,DRIFTUSDT,DRIFTUSDTM,1716283968000,,10711805.8,1112893.1,1112893.1
DUCK,DUCKUSDT,DUCKUSDTM,1737022888000,,945340001.0,675711.1,675711.1
DUSK,DUSKUSDT,DUSKUSDTM,1639673130000,,3948767.7,147430.7,147430.7
DYDX,DYDXUSDT,DYDXUSDTM,1633910400000,,11344771.05,9952592.3,9952592.3
DYM,DYMUSDT,DYMUSDTM,1707273410000,,9104851.73,17398235.5,9104851.73
EDU,EDUUSDT,EDUUSDTM,1683273334000,,17455348.32,2468247.2,2468247.2
EGLD,EGLDUSDT,EGLDUSDTM,1637596800000,,235835.85,3292694.7,235835.85
EIGEN,EIGENUSDT,EIGENUSDTM,1722915813000,,14189533.0,2106325.6,2106325.6
ENA,ENAUSDT,ENAUSDTM,1712050966000,,322434476.7,19665913.2,19665913.2
ENJ,ENJUSDT,ENJUSDTM,1635696000000,,29245186.37,4384817.0,4384817.0
ENS,ENSUSDT,ENSUSDTM,1636675200000,,1171756.62,616126.2,616126.2
EOS,EOSUSDT,EOSUSDTM,1624949940000,,68775602.53,3837137.8,3837137.8
EPT,EPTUSDT,EPTUSDTM,1745238159000,,1072554407.0,242465.3,242465.3
ETC,ETCUSDT,ETCUSDTM,1624950240000,,1242430.56,313905.8,313905.8
ETHFI,ETHFIUSDT,ETHFIUSDTM,1710767803000,,31540855.14,3330315.2,3330315.2
FARTCOIN,FARTCOINUSDT,FARTCOINUSDTM,1734683847000,,328447545.5,15796690.7,15796690.7
FIL,FILUSDT,FILUSDTM,1624950900000,,6542540.24,4571437.7,4571437.7
FLM,FLMUSDT,FLMUSDTM,1651467612000,,205207444.9,3513786.2,3513786.2
FLOCK,FLOCKUSDT,FLOCKUSDTM,1736412607000,,33390851.6,227183.7,227183.7
FLOW,FLOWUSDT,FLOWUSDTM,1637856000000,,5781115.81,1601072.0,1601072.0
FLUX,FLUXUSDT,FLUXUSDTM,1725438663000,,1715418.9,328265.5,328265.5
FUEL,FUELUSDT,FUELUSDTM,1735630145000,,78603212.0,329728.7,329728.7
